Table ID,Table Title,Table Universe
B26001,GROUP QUARTERS POPULATION,Population in group quarters
B26101,GROUP QUARTERS TYPE (3 TYPES) BY SEX BY AGE,Total population
B26102,MEDIAN AGE BY GROUP QUARTERS TYPE (3 TYPES),Total population
B26103,GROUP QUARTERS TYPE (3 TYPES),Total population
B26103A,GROUP QUARTERS TYPE (3 TYPES) (WHITE ALONE),People who are White alone
B26103B,GROUP QUARTERS TYPE (3 TYPES) (BLACK OR AFRICAN AMERICAN ALONE),People who are Black or African American alone
B26103C,GROUP QUARTERS TYPE (3 TYPES) (AMERICAN INDIAN AND ALASKA NATIVE ALONE),People who are American Indian and Alaska Native alone
B26103D,GROUP QUARTERS TYPE (3 TYPES) (ASIAN ALONE),People who are Asian alone
B26103E,GROUP QUARTERS TYPE (3 TYPES) (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),People who are Native Hawaiian and Other Pacific Islander alone
B26103F,GROUP QUARTERS TYPE (3 TYPES) (SOME OTHER RACE ALONE),People who are Some Other Race alone
B26103G,GROUP QUARTERS TYPE (3 TYPES) (TWO OR MORE RACES),People who are Two or More Races
B26103H,"GROUP QUARTERS TYPE (3 TYPES) (WHITE ALONE, NOT HISPANIC OR LATINO)","White alone, not Hispanic or Latino population"
B26103I,GROUP QUARTERS TYPE (3 TYPES) (HISPANIC OR LATINO),People who are Hispanic or Latino
B26104,GROUP QUARTERS TYPE (3 TYPES) BY MARITAL STATUS,Population 15 years and over
B26105,GROUP QUARTERS TYPE (3 TYPES) BY SCHOOL ENROLLMENT,Population 3 years and over enrolled in school
B26106,GROUP QUARTERS TYPE (3 TYPES) BY EDUCATIONAL ATTAINMENT,Population 25 years and over
B26107,GROUP QUARTERS TYPE (3 TYPES) BY VETERAN STATUS,Civilian population 18 years and over
B26108,GROUP QUARTERS TYPE (3 TYPES) BY AGE BY DISABILITY STATUS,Total population
B26109,GROUP QUARTERS TYPE (3 TYPES) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES,Population 1 year and over in the United States
B26109PR,GROUP QUARTERS TYPE (3 TYPES) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN PUERTO RICO,Population 1 year and over in Puerto Rico
B26110,GROUP QUARTERS TYPE (3 TYPES) BY NATIVITY AND CITIZENSHIP STATUS BY SEX,Total population
B26113,GROUP QUARTERS TYPE (3 TYPES) BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH,Population 5 years and over
B26114,GROUP QUARTERS TYPE (3 TYPES) BY EMPLOYMENT STATUS,Population 16 years and over
B26115,GROUP QUARTERS TYPE (3 TYPES) BY OCCUPATION,Civilian noninstitutionalized employed population 16 years and over
B26117,GROUP QUARTERS TYPE (3 TYPES) BY SEX WITH EARNINGS IN THE PAST 12 MONTHS,Population 16 years and over with earnings
B26118,AGGREGATE EARNINGS IN THE PAST 12 MONTHS BY GROUP QUARTERS TYPE (3 TYPES) BY SEX,Population 16 years and over with earnings
B26119,MEDIAN EARNINGS IN THE PAST 12 MONTHS BY GROUP QUARTERS TYPE (3 TYPES) BY SEX,Population 16 years and over with earnings
B26120,GROUP QUARTERS TYPE (3 TYPES) BY RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS,Population in group quarters
B26201,GROUP QUARTERS TYPE (5 TYPES) BY SEX BY AGE,Total population
B26202,MEDIAN AGE BY GROUP QUARTERS TYPE (5 TYPES),Total population
B26203,GROUP QUARTERS TYPE (5 TYPES),Total population
B26203A,GROUP QUARTERS TYPE (5 TYPES) (WHITE ALONE),People who are White alone
B26203B,GROUP QUARTERS TYPE (5 TYPES) (BLACK OR AFRICAN AMERICAN ALONE),People who are Black or African American alone
B26203C,GROUP QUARTERS TYPE (5 TYPES) (AMERICAN INDIAN AND ALASKA NATIVE ALONE),People who are American Indian and Alaska Native alone
B26203D,GROUP QUARTERS TYPE (5 TYPES) (ASIAN ALONE),People who are Asian alone
B26203E,GROUP QUARTERS TYPE (5 TYPES) (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),People who are Native Hawaiian and Other Pacific Islander alone
B26203F,GROUP QUARTERS TYPE (5 TYPES) (SOME OTHER RACE ALONE),People who are Some Other Race alone
B26203G,GROUP QUARTERS TYPE (5 TYPES) (TWO OR MORE RACES),People who are Two or More Races
B26203H,"GROUP QUARTERS TYPE (5 TYPES) (WHITE ALONE, NOT HISPANIC OR LATINO)","White alone, not Hispanic or Latino population"
B26203I,GROUP QUARTERS TYPE (5 TYPES) (HISPANIC OR LATINO),People who are Hispanic or Latino
B26204,GROUP QUARTERS TYPE (5 TYPES) BY MARITAL STATUS,Population 15 years and over
B26205,GROUP QUARTERS TYPE (5 TYPES) BY SCHOOL ENROLLMENT,Population 3 years and over enrolled in school
B26206,GROUP QUARTERS TYPE (5 TYPES) BY EDUCATIONAL ATTAINMENT,Population 25 years and over
B26207,GROUP QUARTERS TYPE (5 TYPES) BY VETERAN STATUS,Civilian population 18 years and over
B26208,GROUP QUARTERS TYPE (5 TYPES) BY AGE BY DISABILITY STATUS,Total population
B26209,GROUP QUARTERS TYPE (5 TYPES) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES,Population 1 year and over in the United States
B26210,GROUP QUARTERS TYPE (5 TYPES) BY NATIVITY AND CITIZENSHIP STATUS BY SEX,Total population
B26211,GROUP QUARTERS TYPE (5 TYPES) BY YEAR OF ENTRY,Foreign-born population
B26212,GROUP QUARTERS TYPE (5 TYPES) BY WORLD REGION OF BIRTH,Foreign-born population excluding population born at sea
B26213,GROUP QUARTERS TYPE (5 TYPES) BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH,Population 5 years and over
B26214,GROUP QUARTERS TYPE (5 TYPES) BY EMPLOYMENT STATUS,Population 16 years and over
B26215,GROUP QUARTERS TYPE (5 TYPES) BY OCCUPATION,Civilian noninstitutionalized employed population 16 years and over
B26216,AGGREGATE INCOME IN THE PAST 12 MONTHS BY GROUP QUARTERS TYPE (5 TYPES),Population 15 years and over
B26217,GROUP QUARTERS TYPE (5 TYPES) BY SEX WITH EARNINGS IN THE PAST 12 MONTHS,Population 16 years and over with earnings
B26218,AGGREGATE EARNINGS IN THE PAST 12 MONTHS BY GROUP QUARTERS TYPE (5 TYPES) BY SEX,Population 16 years and over with earnings
B26219,MEDIAN EARNINGS IN THE PAST 12 MONTHS BY GROUP QUARTERS TYPE (5 TYPES) BY SEX,Population 16 years and over with earnings
B26220,GROUP QUARTERS TYPE (5 TYPES) BY RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS,Population in group quarters
B27001,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE,Civilian noninstitutionalized population
B27002,PRIVATE HEALTH INSURANCE STATUS BY SEX BY AGE,Civilian noninstitutionalized population
B27003,PUBLIC HEALTH INSURANCE STATUS BY SEX BY AGE,Civilian noninstitutionalized population
B27010,TYPES OF HEALTH INSURANCE COVERAGE BY AGE,Civilian noninstitutionalized population
B27011,HEALTH INSURANCE COVERAGE STATUS AND TYPE BY EMPLOYMENT STATUS,Civilian noninstitutionalized population 19 to 64 years
B27015,HEALTH INSURANCE COVERAGE STATUS AND TYPE BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS),Civilian population living in households
B27019,HEALTH INSURANCE COVERAGE STATUS AND TYPE BY AGE BY EDUCATIONAL ATTAINMENT,Civilian noninstitutionalized population 26 years and over
B27020,HEALTH INSURANCE COVERAGE STATUS AND TYPE BY CITIZENSHIP STATUS,Civilian noninstitutionalized population
B27022,HEALTH INSURANCE COVERAGE STATUS BY SEX BY ENROLLMENT STATUS FOR YOUNG ADULTS AGED 19 TO 25,Civilian noninstitutionalized population 19 to 25 years
B27023,PRIVATE HEALTH INSURANCE BY SEX BY ENROLLMENT STATUS FOR YOUNG ADULTS AGED 19 TO 25,Civilian noninstitutionalized population 19 to 25 years
B28001,TYPES OF COMPUTERS IN HOUSEHOLD,Households
B28002,PRESENCE AND TYPES OF INTERNET SUBSCRIPTIONS IN HOUSEHOLD,Households
B28003,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD,Households
B28004,HOUSEHOLD INCOME IN THE LAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) BY PRESENCE AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD,Households
B28005,AGE BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD,Population in households
B28006,EDUCATIONAL ATTAINMENT BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD,Household population 25 years and over
B28007,LABOR FORCE STATUS BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD,Civilian household population 16 years and over
B28008,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD,Population in households
B28009A,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD (WHITE ALONE),Population in households who are White alone
B28009B,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD (BLACK OR AFRICAN AMERICAN ALONE),Population in households who are Black or African American alone
B28009C,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Population in households who are American Indian and Alaska Native alone
B28009D,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD (ASIAN ALONE),Population in households who are Asian alone
B28009E,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Population in households who are Native Hawaiian and Other Pacific Islander alone
B28009F,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD (SOME OTHER RACE ALONE),Population in households who are Some Other Race alone
B28009G,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD (TWO OR MORE RACES),Population in households who are Two or More Races
B28009H,"PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD (WHITE ALONE, NOT HISPANIC OR LATINO)","Population in households who are White alone, not Hispanic or Latino"
B28009I,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD (HISPANIC OR LATINO),Population in households who are Hispanic or Latino
B28010,COMPUTERS IN HOUSEHOLD,Households
B28011,INTERNET SUBSCRIPTIONS IN HOUSEHOLD,Households
B28012,AGE AND ENROLLMENT STATUS BY COMPUTER OWNERSHIP AND INTERNET SUBSCRIPTION STATUS,Population in households
B29001,"CITIZEN, VOTING-AGE POPULATION BY AGE",Citizens 18 years and over
B29002,"CITIZEN, VOTING-AGE POPULATION BY EDUCATIONAL ATTAINMENT",Citizens 18 years and over
B29003,"CITIZEN, VOTING-AGE POPULATION BY POVERTY STATUS",Citizens 18 years and over for whom poverty status is determined
B29004,"MEDIAN HOUSEHOLD INCOME FOR HOUSEHOLDS WITH A CITIZEN, VOTING-AGE HOUSEHOLDER (IN 2021 INFLATION-ADJUSTED DOLLARS)","Households with a citizen, voting-age householder"
B98001,UNWEIGHTED HOUSING UNIT SAMPLE,Housing units
B98002,UNWEIGHTED GROUP QUARTERS POPULATION SAMPLE ,Population in group quarters
B98003,UNWEIGHTED TOTAL POPULATION SAMPLE,Total population
B98011,HOUSING UNIT COVERAGE RATE ,Housing units
B98012,TOTAL POPULATION COVERAGE RATE BY SEX ,Total population
B98013,TOTAL POPULATION COVERAGE RATE BY WEIGHTING RACE AND HISPANIC OR LATINO GROUPS ,Total population
B98014,GROUP QUARTERS POPULATION COVERAGE RATE ,Population in group quarters
B98021,HOUSING UNIT RESPONSE AND NONRESPONSE RATES WITH REASONS FOR NONINTERVIEWS,Housing units
B98022,GROUP QUARTERS POPULATION RESPONSE AND NONRESPONSE RATES WITH REASONS FOR NONINTERVIEWS ,Population in group quarters
B98031,OVERALL PERSON CHARACTERISTIC ALLOCATION RATE,Total population
B98032,OVERALL HOUSING UNIT CHARACTERISTIC ALLOCATION RATE,Housing units
B99011,ALLOCATION OF SEX,Total population
B99012,ALLOCATION OF AGE,Total population
B99021,ALLOCATION OF RACE,Total population
B99031,ALLOCATION OF HISPANIC OR LATINO ORIGIN,Total population
B99051,ALLOCATION OF CITIZENSHIP STATUS,Total population
B99052,ALLOCATION OF YEAR OF ENTRY,Population born outside the United States
B99052PR,ALLOCATION OF YEAR OF ENTRY FOR POPULATION BORN OUTSIDE PUERTO RICO,Population born outside Puerto Rico
B99053,ALLOCATION OF YEAR OF NATURALIZATION,Naturalized citizen population
B99061,ALLOCATION OF PLACE OF BIRTH,Total population
B99071,ALLOCATION OF MOBILITY STATUS FOR THE POPULATION 1 YEAR AND OVER,Population 1 year and over
B99072,ALLOCATION OF RESIDENCE 1 YEAR AGO FOR THE POPULATION 1 YEAR AND OVER,Population 1 year and over
B99080,ALLOCATION OF MEANS OF TRANSPORTATION TO WORK,Workers 16 years and over
B99081,ALLOCATION OF PLACE OF WORK,Workers 16 years and over
B99082,ALLOCATION OF PRIVATE VEHICLE OCCUPANCY,Workers 16 years and over
B99083,ALLOCATION OF TIME OF DEPARTURE TO GO TO WORK,Workers 16 years and over
B99084,ALLOCATION OF TRAVEL TIME TO WORK,Workers 16 years and over
B99085,ALLOCATION OF VEHICLES AVAILABLE FOR WORKERS,Workers 16 years and over in households
B99086,ALLOCATION OF MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,Workers 16 years and over
B99087,ALLOCATION OF TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY,Workers 16 years and over
B99088,ALLOCATION OF TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY,Workers 16 years and over
B99089,ALLOCATION OF VEHICLES AVAILABLE FOR WORKERS FOR WORKPLACE GEOGRAPHY,Workers 16 years and over in households
B99092,ALLOCATION OF RELATIONSHIP,Population in households
B99102,ALLOCATION OF GRANDPARENTS LIVING WITH GRANDCHILDREN UNDER 18 YEARS,Population 30 years and over
B99103,ALLOCATION OF GRANDPARENTS RESPONSIBLE FOR GRANDCHILDREN UNDER 18 YEARS,Grandparents living with own grandchildren under 18 years
B99104,ALLOCATION OF LENGTH OF TIME GRANDPARENT RESPONSIBLE FOR OWN GRANDCHILDREN UNDER 18 YEARS FOR THE POPULATION 30 YEARS AND OVER,Population 30 years and over
B99121,ALLOCATION OF MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER,Population 15 years and over
B99122,ALLOCATION OF DIVORCED IN THE PAST 12 MONTHS FOR THE POPULATION 15 YEARS AND OVER,Population 15 years and over
B99123,ALLOCATION OF MARRIED IN THE PAST 12 MONTHS FOR THE POPULATION 15 YEARS AND OVER,Population 15 years and over
B99124,ALLOCATION OF WIDOWED IN THE PAST 12 MONTHS FOR THE POPULATION 15 YEARS AND OVER,Population 15 years and over
B99125,ALLOCATION OF TIMES MARRIED FOR THE POPULATION 15 YEARS AND OVER,Population 15 years and over
B99126,ALLOCATION OF YEAR LAST MARRIED FOR THE POPULATION 15 YEARS AND OVER,Population 15 years and over
B99131,ALLOCATION OF MARITAL STATUS FOR FEMALES 15 TO 50 YEARS,Women 15 to 50 years
B99132,ALLOCATION OF FERTILITY OF WOMEN 15 TO 50 YEARS ,Women 15 to 50 years
B99141,ALLOCATION OF SCHOOL ENROLLMENT FOR THE POPULATION 3 YEARS AND OVER,Population 3 years and over
B99142,ALLOCATION OF GRADE ENROLLED FOR THE POPULATION 3 YEARS AND OVER ENROLLED IN SCHOOL,Population 3 years and over enrolled in school
B99151,ALLOCATION OF EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,Population 25 years and over
B99152,ALLOCATION OF FIELD OF DEGREE FOR POPULATION 25 YEARS AND OVER,Population 25 years and over with a Bachelor's degree or higher attainment
B99161,ALLOCATION OF LANGUAGE STATUS FOR THE POPULATION 5 YEARS AND OVER,Population 5 years and over
B99162,ALLOCATION OF LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER,Population 5 years and over
B99163,ALLOCATION OF ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER,Population 5 years and over
B99171,ALLOCATION OF POVERTY STATUS IN THE PAST 12 MONTHS FOR UNRELATED INDIVIDUALS,Unrelated individuals 15 years and over for whom poverty status is determined
B99172,ALLOCATION OF POVERTY STATUS IN THE PAST 12 MONTHS FOR FAMILIES,Families
B99181,ALLOCATION OF DISABILITY ITEMS FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION ,Civilian noninstitutionalized population
B99182,ALLOCATION OF HEARING DIFFICULTY FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION ,Civilian noninstitutionalized population
B99183,ALLOCATION OF VISION DIFFICULTY FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION ,Civilian noninstitutionalized population
B99184,ALLOCATION OF COGNITIVE DIFFICULTY FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION 5 YEARS AND OVER,Civilian noninstitutionalized population 5 years and over
B99185,ALLOCATION OF AMBULATORY DIFFICULTY FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION 5 YEARS AND OVER,Civilian noninstitutionalized population 5 years and over
B99186,ALLOCATION OF SELF-CARE DIFFICULTY FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION 5 YEARS AND OVER,Civilian noninstitutionalized population 5 years and over
B99187,AGE BY ALLOCATION OF INDEPENDENT LIVING DIFFICULTY FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION 15 YEARS AND OVER,Civilian noninstitutionalized population 15 years and over
B99191,ALLOCATION OF INDIVIDUALS' INCOME IN THE PAST 12 MONTHS FOR THE POPULATION 15 YEARS AND OVER - PERCENT OF INCOME ALLOCATED,Population 15 years and over
B99192,ALLOCATION OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - PERCENT OF INCOME ALLOCATED,Households
B99193,ALLOCATION OF FAMILY INCOME IN THE PAST 12 MONTHS -- PERCENT OF INCOME ALLOCATED,Families
B99194,ALLOCATION OF NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS -- PERCENT OF INCOME ALLOCATED,Nonfamily households
B99201,ALLOCATION OF EARNINGS IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER - PERCENT OF EARNINGS ALLOCATED,Population 16 years and over
B99211,ALLOCATION OF VETERAN STATUS FOR THE POPULATION 18 YEARS AND OVER,Population 18 years and over
B99212,ALLOCATION OF PERIOD OF MILITARY SERVICE FOR CIVILIAN VETERANS 18 YEARS AND OVER,Civilian veterans 18 years and over
B99221,ALLOCATION OF FOOD STAMPS/SNAP RECEIPT,Households
B99231,ALLOCATION OF EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER,Population 16 years and over
B99232,ALLOCATION OF WORK STATUS IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER,Population 16 years and over
B99233,ALLOCATION OF USUAL HOURS WORKED PER WEEK IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER,Population 16 years and over
B99234,ALLOCATION OF WEEKS WORKED IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER,Population 16 years and over
B99241,ALLOCATION OF INDUSTRY FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,Civilian employed population 16 years and over
B99242,ALLOCATION OF OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,Civilian employed population 16 years and over
B99243,ALLOCATION OF CLASS OF WORKER FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,Civilian employed population 16 years and over
B99244,"ALLOCATION OF INDUSTRY FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Full-time, year-round civilian employed population 16 years and over"
B99245,"ALLOCATION OF OCCUPATION FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Full-time, year-round civilian employed population 16 years and over"
B99246,"ALLOCATION OF CLASS OF WORKER FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Full-time, year-round civilian employed population 16 years and over"
B99252,ALLOCATION OF TENURE,Occupied housing units
B99253,ALLOCATION OF VACANCY STATUS,Vacant housing units
B99254,ALLOCATION OF ROOMS,Housing units
B99255,ALLOCATION OF UNITS IN STRUCTURE,Housing units
B99256,ALLOCATION OF YEAR STRUCTURE BUILT,Housing units
B99257,ALLOCATION OF YEAR HOUSEHOLDER MOVED INTO UNIT,Occupied housing units
B99258,ALLOCATION OF BEDROOMS,Housing units
B99259,ALLOCATION OF PLUMBING FACILITIES,Housing units
B992510,ALLOCATION OF KITCHEN FACILITIES,Housing units
B992511,ALLOCATION OF HOUSE HEATING FUEL,Occupied housing units
B992512,ALLOCATION OF VEHICLES AVAILABLE,Occupied housing units
B992513,ALLOCATION OF TELEPHONE SERVICE AVAILABLE,Occupied housing units
B992514,ALLOCATION OF MEALS INCLUDED IN RENT,Renter-occupied housing units paying cash rent
B992515,ALLOCATION OF CONTRACT RENT,Renter-occupied housing units
B992516,ALLOCATION OF RENT ASKED,"Vacant-for-rent and rented, not occupied housing units"
B992518,ALLOCATION OF GROSS RENT,Renter-occupied housing units
B992519,ALLOCATION OF VALUE,Owner-occupied housing units
B992520,ALLOCATION OF PRICE ASKED,"Vacant-for-sale-only and sold, not occupied housing units"
B992521,ALLOCATION OF MORTGAGE STATUS,Owner-occupied housing units
B992522,ALLOCATION OF MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS,Owner-occupied housing units
B992523,ALLOCATION OF SELECTED MONTHLY OWNER COSTS FOR OWNER-OCCUPIED HOUSING UNITS,Owner-occupied housing units
B992701,ALLOCATION OF HEALTH INSURANCE COVERAGE,Civilian noninstitutionalized population
B992702,ALLOCATION OF PRIVATE HEALTH INSURANCE,Civilian noninstitutionalized population
B992703,ALLOCATION OF PUBLIC HEALTH INSURANCE,Civilian noninstitutionalized population
B992704,ALLOCATION OF EMPLOYER-BASED HEALTH INSURANCE,Civilian noninstitutionalized population
B992705,ALLOCATION OF DIRECT-PURCHASE HEALTH INSURANCE,Civilian noninstitutionalized population
B992706,ALLOCATION OF MEDICARE COVERAGE,Civilian noninstitutionalized population
B992707,ALLOCATION OF MEDICAID/MEANS-TESTED PUBLIC COVERAGE,Civilian noninstitutionalized population
B992708,ALLOCATION OF TRICARE/MILITARY HEALTH COVERAGE,Civilian noninstitutionalized population
B992709,ALLOCATION OF VA HEALTH CARE,Civilian noninstitutionalized population
B99281,ALLOCATION OF HOUSEHOLD INTERNET ACCESS,Households
B99282,ALLOCATION OF HOUSEHOLD COMPUTER TYPE,Households
B99283,ALLOCATION OF HOUSEHOLD INTERNET SUBSCRIPTION TYPE,Households
